"","Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"1","Combined","All Basins","Water_Temperature","5Pct",5,26.8631847004594,"",26.254396984666,27.1185054754047
"2","Combined","All Basins","Water_Temperature","10Pct",9,27.163078020269,"",26.556522388779,27.5044743370884
"3","Combined","All Basins","Water_Temperature","25Pct",20,27.8769351076716,"",27.3427286715359,28.7263328195824
"4","Combined","All Basins","Water_Temperature","50Pct",53,29.4332699191848,"",28.5047483957289,29.5596744832234
"5","Combined","All Basins","Water_Temperature","75Pct",62,29.6934780093858,"",29.4467645877161,31.3947364083017
"6","Combined","All Basins","Water_Temperature","90Pct",72,30.2298973139743,"",29.699657103191,31.2683358791252
"7","Combined","All Basins","Water_Temperature","95Pct",79,31.0155771094316,"",30.3047546256686,32.2242402324565
"8","Combined","All Basins","Water_Temperature","Mean",88,28.9606971631027,"0.124112532538326",28.7174410692975,29.2039532569079
"9","Combined","All Basins","Water_Temperature","Variance",88,1.20128271966277,"0.177696107902488",0.85300474798095,1.54956069134459
"10","Combined","All Basins","Water_Temperature","Std. Deviation",88,0.937336835402512,"0.0676001423667996",0.804842991013805,1.06983067979122
"11","Basin","ZONE 1","Water_Temperature","5Pct",0,26.8492813246246,"",26.8441270595566,26.8544355896927
"12","Basin","ZONE 1","Water_Temperature","10Pct",1,27.9378025372484,"",25.3,28.8183896562225
"13","Basin","ZONE 1","Water_Temperature","25Pct",3,28.8733289764284,"",27.9502499913806,29.5140496555006
"14","Basin","ZONE 1","Water_Temperature","50Pct",6,29.6212375102388,"",29.4060903172395,30.8601824071215
"15","Basin","ZONE 1","Water_Temperature","75Pct",10,30.8962061250268,"",29.6762830961345,31.4373167503453
"16","Basin","ZONE 1","Water_Temperature","90Pct",13,31.4323884579956,"",31.2343833851483,31.6
"17","Basin","ZONE 1","Water_Temperature","95Pct",14,31.4905491887439,"",31.4058875844779,31.6
"18","Basin","ZONE 1","Water_Temperature","Mean",15,29.7760005968498,"0.257108793873669",29.2720766207489,30.2799245729507
"19","Basin","ZONE 1","Water_Temperature","Variance",15,1.6751016896129,"0.35159815431966",0.98598197011561,2.36422140911019
"20","Basin","ZONE 1","Water_Temperature","Std. Deviation",15,1.2942571960831,"0.135830094429347",1.02803510298491,1.5604792891813
"21","Basin","ZONE 2","Water_Temperature","5Pct",0,26.1854983083637,"",26.1723162226231,26.1986803941043
"22","Basin","ZONE 2","Water_Temperature","10Pct",1,26.8934448947998,"",25.4347976199287,27.5710310427173
"23","Basin","ZONE 2","Water_Temperature","25Pct",3,27.5977194310765,"",26.8825638741212,28.3778760914797
"24","Basin","ZONE 2","Water_Temperature","50Pct",7,28.4285994479195,"",27.5997687632244,29.2530734098393
"25","Basin","ZONE 2","Water_Temperature","75Pct",11,29.2667356241589,"",28.4692120084366,30.1527455679597
"26","Basin","ZONE 2","Water_Temperature","90Pct",13,29.9549666290792,"",29.266111952832,30.2
"27","Basin","ZONE 2","Water_Temperature","95Pct",14,30.1564899887237,"",29.8534796782918,30.2
"28","Basin","ZONE 2","Water_Temperature","Mean",15,28.4834345489703,"0.249596781539108",27.9942338464965,28.972635251444
"29","Basin","ZONE 2","Water_Temperature","Variance",15,1.19678774993068,"0.309045977433735",0.591068764593578,1.80250673526778
"30","Basin","ZONE 2","Water_Temperature","Std. Deviation",15,1.09397794764368,"0.141248723568601",0.817135536586968,1.37082035870039
"31","Basin","ZONE 3","Water_Temperature","5Pct",0,26.6977305286584,"",26.6854700772348,26.7099909800821
"32","Basin","ZONE 3","Water_Temperature","10Pct",1,27.0508617534094,"",26.5048903434807,27.2063319758862
"33","Basin","ZONE 3","Water_Temperature","25Pct",3,27.3405064171885,"",26.6985256658994,27.8033240754841
"34","Basin","ZONE 3","Water_Temperature","50Pct",7,27.8637619519266,"",27.353854654128,28.9044159437184
"35","Basin","ZONE 3","Water_Temperature","75Pct",11,28.9159481443525,"",28.2067722522414,30.326042084573
"36","Basin","ZONE 3","Water_Temperature","90Pct",13,30.0280892954329,"",28.7837239136337,30.361
"37","Basin","ZONE 3","Water_Temperature","95Pct",14,30.3109520238665,"",29.6352201708993,30.361
"38","Basin","ZONE 3","Water_Temperature","Mean",15,28.2660822668959,"0.27113218778503",27.7346729437877,28.7974915900041
"39","Basin","ZONE 3","Water_Temperature","Variance",15,1.17551908797643,"0.290336003109808",0.606470978465896,1.74456719748696
"40","Basin","ZONE 3","Water_Temperature","Std. Deviation",15,1.08421358042428,"0.133892439807013",0.821789220600333,1.34663794024822
"41","Basin","ZONE 4","Water_Temperature","5Pct",1,25.3,"",25.3,26.4427818874128
"42","Basin","ZONE 4","Water_Temperature","10Pct",1,26.3417620584534,"",25.3,26.9129852226543
"43","Basin","ZONE 4","Water_Temperature","25Pct",3,26.9535225432646,"",26.3558823390239,27.5419751301041
"44","Basin","ZONE 4","Water_Temperature","50Pct",7,28.0027795406783,"",26.9541035874409,29.7241645691194
"45","Basin","ZONE 4","Water_Temperature","75Pct",10,29.724452875172,"",28.0395792130094,32.3636572501795
"46","Basin","ZONE 4","Water_Temperature","90Pct",12,31.3444378133455,"",29.7125469055344,32.4
"47","Basin","ZONE 4","Water_Temperature","95Pct",13,32.3301563619091,"",29.7853124088799,32.4
"48","Basin","ZONE 4","Water_Temperature","Mean",14,28.4113922308027,"0.467392320732879",27.4953201155156,29.3274643460897
"49","Basin","ZONE 4","Water_Temperature","Variance",14,3.6416861375515,"0.975605499108248",1.72953449618011,5.55383777892289
"50","Basin","ZONE 4","Water_Temperature","Std. Deviation",14,1.90832023977934,"0.255618915203943",1.40731637221242,2.40932410734627
"51","Basin","ZONE 5","Water_Temperature","5Pct",0,27.7839111660213,"",27.7764027719654,27.7914195600773
"52","Basin","ZONE 5","Water_Temperature","10Pct",1,28.1252256302916,"",25.3,28.1901951698724
"53","Basin","ZONE 5","Water_Temperature","25Pct",3,28.6370233761375,"",27.7729077725713,29.0652798986729
"54","Basin","ZONE 5","Water_Temperature","50Pct",7,29.2589670554808,"",28.6555591712633,30.2265182447585
"55","Basin","ZONE 5","Water_Temperature","75Pct",10,30.2468678359941,"",29.3665191566039,32.0874623503796
