"","Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"47","Basin","ZONE 4","Mercury_Sediments","95Pct",13,0.758411132748005,"",0.26784812626855,1.6
"48","Basin","ZONE 4","Mercury_Sediments","Mean",14,0.252112265191124,"0.0898181888525961",0.0760718498834189,0.428152680498829
"49","Basin","ZONE 4","Mercury_Sediments","Variance",14,0.151486639465077,"0.113351189076574",0,0.373650887659953
"50","Basin","ZONE 4","Mercury_Sediments","Std. Deviation",14,0.389212845966159,"0.145615940289943",0.103810847422936,0.674614844509383
"51","Basin","ZONE 5","Mercury_Sediments","5Pct",1,0.00083,"",0.00083,0.00672474232034742
"52","Basin","ZONE 5","Mercury_Sediments","10Pct",1,0.00295503739190682,"",0.00083,0.0100161499610688
"53","Basin","ZONE 5","Mercury_Sediments","25Pct",3,0.0106938895866871,"",0.0029166530315125,0.0196339990320065
"54","Basin","ZONE 5","Mercury_Sediments","50Pct",7,0.0204853979592741,"",0.0109549913719169,0.151047245225936
"55","Basin","ZONE 5","Mercury_Sediments","75Pct",10,0.15325265599342,"",0.0212314752788582,0.248040576620982
"56","Basin","ZONE 5","Mercury_Sediments","90Pct",12,0.244069030436515,"",0.154303426759199,0.27
"57","Basin","ZONE 5","Mercury_Sediments","95Pct",13,0.262034515218258,"",0.215243847708122,0.27
"58","Basin","ZONE 5","Mercury_Sediments","Mean",14,0.072271072004449,"0.0187842886473748",0.0354545427803897,0.109087601228508
"59","Basin","ZONE 5","Mercury_Sediments","Variance",14,0.0090080394005794,"0.00238948236071316",0.00432474003188787,0.0136913387692709
"60","Basin","ZONE 5","Mercury_Sediments","Std. Deviation",14,0.0949106917084656,"0.0125880568232126",0.0702385536996252,0.119582829717306
"61","Basin","ZONE 6","Mercury_Sediments","5Pct",0,0.00924923310156662,"",0.00919557449495198,0.00930289170818126
"62","Basin","ZONE 6","Mercury_Sediments","10Pct",0,0.00999846620313324,"",0.00989114898990395,0.0143016072711132
"63","Basin","ZONE 6","Mercury_Sediments","25Pct",2,0.0301729353375527,"",0.00885949893450207,0.121820639725099
"64","Basin","ZONE 6","Mercury_Sediments","50Pct",4,0.122850813432961,"",0.0172744666130392,0.1860517917199
"65","Basin","ZONE 6","Mercury_Sediments","75Pct",6,0.178342128764142,"",0.12032863443173,0.24
"66","Basin","ZONE 6","Mercury_Sediments","90Pct",8,0.225691798017069,"",0.129556511184385,0.24
"67","Basin","ZONE 6","Mercury_Sediments","95Pct",8,0.232845899008535,"",0.17378295102651,0.24
